File: ategcs.test
Build ID: 2acb4256e6b840a19a4d06dfcc3f0f26ba772f4e
Type: cpu
Time: 2026-09-18 14:03:36 UTC
Duration: 419.81ms, Total samples = 350ms (83.37%)
Showing nodes accounting for 350ms, 100% of 350ms total
Showing top 30 nodes out of 80
      flat  flat%   sum%        cum   cum%
     110ms 31.43% 31.43%      110ms 31.43%  internal/runtime/syscall/linux.Syscall6
     100ms 28.57% 60.00%      100ms 28.57%  runtime.memmove
      50ms 14.29% 74.29%       50ms 14.29%  github.com/klauspost/compress/zstd/internal/xxhash.writeBlocks
      30ms  8.57% 82.86%       30ms  8.57%  runtime.memclrNoHeapPointers
      20ms  5.71% 88.57%       60ms 17.14%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseSourceTB
      20ms  5.71% 94.29%       20ms  5.71%  github.com/klauspost/compress/zstd.sequenceDecs_decodeSync_safe_bmi2
      10ms  2.86% 97.14%       10ms  2.86%  internal/runtime/atomic.(*UnsafePointer).StoreNoWB
      10ms  2.86%   100%       10ms  2.86%  runtime.madvise
         0     0%   100%       40ms 11.43%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).Write
         0     0%   100%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.(*parZstd).worker
         0     0%   100%      170ms 48.57%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkReadSparseZstd
         0     0%   100%       80ms 22.86%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.BenchmarkWriteSparseZstd
         0     0%   100%      120ms 34.29%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.readSparseZstd
         0     0%   100%       70ms 20.00%  github.com/agent-substrate/substrate/cmd/atelet/internal/ategcs.writeSparseZstd
         0     0%   100%       60ms 17.14%  github.com/klauspost/compress/zstd.(*Decoder).Read
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*Decoder).nextBlock
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd.(*Decoder).nextBlockSync
         0     0%   100%       80ms 22.86%  github.com/klauspost/compress/zstd.(*Encoder).EncodeAll
         0     0%   100%       80ms 22.86%  github.com/klauspost/compress/zstd.(*Encoder).encodeAll
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*blockDec).decodeBuf
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*blockDec).decodeCompressed
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*fastBase).addBlock
         0     0%   100%       10ms  2.86%  github.com/klauspost/compress/zstd.(*fastBase).ensureHist (inline)
         0     0%   100%       40ms 11.43%  github.com/klauspost/compress/zstd.(*fastEncoder).Encode
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*history).ensureBlock (inline)
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSync
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.(*sequenceDecs).decodeSyncSimple
         0     0%   100%       20ms  5.71%  github.com/klauspost/compress/zstd.decodeSyncAsm
         0     0%   100%       50ms 14.29%  github.com/klauspost/compress/zstd/internal/xxhash.(*Digest).Write
         0     0%   100%       10ms  2.86%  internal/poll.(*FD).Fsync
